Iteration,Prompt,CLIP_Sim,LPIPS,RMSE,Combined_Score
Baseline,astronaut standing on the surface of a planet with a bright light shining in the background,0.8551706075668335,0.5230433344841003,32.16922106397991,0.727798
1,astronaut standing on a rugged planetary surface with a blazing sun shining in the background,0.7913808822631836,0.6940997242927551,50.728024172597344,0.168956
1,astronaut in a sleek white spacesuit standing near a distant planet with a bright light illuminating it,0.8119566440582275,0.5849648118019104,44.83589298043003,0.405873
1,highly detailed astronaut standing on the barren surface of a mysterious planet with a glowing light emanating from the distance,0.7850903868675232,0.578988790512085,33.429452607885594,0.368290
1,astronaut standing on a dusty planet with a fiery explosion occurring in the background and a bright light shining down,0.8589881658554077,0.7096865773200989,56.88148191697587,0.397911
1,4k digital painting of an astronaut in a spacesuit standing on the rocky surface of a distant planet with a brilliant light illuminating it in the background,0.8273835182189941,0.6696125268936157,51.721474414140154,0.339317
2,"astronaut standing on the surface of a distant planet with a bright, intense light shining in the background",0.8244296312332153,0.5140567421913147,33.57774041835284,0.600531
2,"highly detailed astronaut standing on the surface of a rugged, barren planet with vibrant, electric blue light in the background",0.7831529378890991,0.6306023597717285,37.31444221466916,0.282214
2,highly realistic astronaut standing on the dusty surface of an alien world with a bright light source casting a warm glow,0.8086177110671997,0.6592760682106018,44.56356260968649,0.314756
2,"digital painting of a heroic astronaut standing on the surface of a mysterious, icy planet with a faint light in the background",0.8114694356918335,0.6999797821044922,70.45574832131815,0.128537
2,"astronaut standing in the foreground, against a stunning backdrop of a vibrant, starry night sky and a large, glowing planet in the distance",0.8784724473953247,0.5644494891166687,31.23969700491469,0.786755
3,"astronaut standing on the surface, against a breathtaking backdrop of a radiant, star-studded night sky and a massive, luminous planet in the distance highly detailed",0.8435455560684204,0.48999324440956116,34.21087708065011,0.702084
3,"astronaut standing at the edge, against a spectacular display of a vibrant, star-filled night sky and a massive, glowing planet in the background 4k",0.8432585000991821,0.48355236649513245,33.776268886304166,0.710316
3,"astronaut standing proudly in the foreground, against a stunning backdrop of a rich, star-studded night sky and a large, luminous planet in the background, highly realistic",0.8218138813972473,0.5113424062728882,32.91956703939244,0.596426
3,"astronaut standing near a space shuttle, against a vibrant, starry night sky and a massive, glowing planet in the distant horizon, with subtle gradients",0.7872065901756287,0.5673465132713318,31.610849374567657,0.400357
3,"astronaut standing in the foreground, against a breathtaking panorama of a radiant, star-filled night sky and a large, glowing planet in the distance, with intricate textures",0.8740526437759399,0.47774988412857056,31.08298692916466,0.861178
4,"astronaut standing in the foreground, against a breathtakingly vibrant panorama of a star-filled night sky and a large, illuminated, distant planet, with intricate and realistic textures",0.8395530581474304,0.47393858432769775,29.86295512654086,0.728459
4,"astronaut standing in the foreground, against a majestic, otherworldly backdrop of a radiant, star-filled night sky and a glowing, serene planet in the distance, with highly detailed textures",0.8538539409637451,0.5218579769134521,34.41564384051024,0.710112
4,"astronaut standing in the foreground of a highly realistic, 4k-rendered image, against a breathtaking panorama of a star-filled night sky and a large, glowing planet in the distance, with intricate and textured details",0.9028915166854858,0.5056966543197632,29.619783033046215,0.960723
4,"astronaut standing at the edge of a cliff, in the foreground, against a stunningly vivid and atmospheric panorama of a star-filled night sky and a large, glowing planet in the distance, with detailed and realistic textures",0.8794304132461548,0.5474884510040283,32.347555382017795,0.802111
4,"astronaut in a dynamic pose, standing in the foreground, against a breathtaking, surreal, and highly detailed backdrop of a radiant, star-filled night sky and a large, glowing planet in the distance, with realistic and intricate textures",0.8386884927749634,0.5197921991348267,32.979739690426385,0.657570
5,"vibrant astronaut standing in the foreground of a stunning, ultra-high definition image, against an awe-inspiring vista of a star-filled night sky and a large, radiant exoplanet in the distance, with photorealistic and textured details",0.8458231091499329,0.5069173574447632,29.881216436059024,0.719560
5,"realistic astronaut standing center frame in a breathtaking panorama of a star-filled night sky and a large, luminous planet in the distance, with detailed and sharp features",0.8493926525115967,0.4774581789970398,29.477301956108832,0.768123
5,"highly realistic astronaut standing at the edge of a cliff, in a 4k-rendered image, against a breathtaking panorama of a star-filled night sky and a large, glowing planet in the distance, with intricate and detailed textures",0.8147501945495605,0.5206371545791626,28.68426731363987,0.582421
5,"astronaut standing at the shoreline in a tranquil, serene night scene, against a stunning vista of a star-filled night sky and a large, glowing, distant planet, with realistic and textured details",0.8313630819320679,0.6079827547073364,29.643585436778093,0.553425
5,"astronaut standing in the foreground, amidst a beautiful, dreamlike atmosphere of a star-filled night sky and a large, radiant, glowing exoplanet in the distance, with highly detailed and textured features",0.8514000177383423,0.47482946515083313,30.623934334388426,0.772430
